"Site.Code","CT.mean","CT.median","CT.mode","CT.nbsp","CT.sing.sp","CT.FEve","CT.FDiv","CT.FDis","CT.RaoQ","CWM.Mass","CWM.Litter","CWM.GR","CT.Shannon","Shannon.Index","CT.FDisMedian","V.FEve.x","V.FDis.x","V.RaoQ.x","V.CWM.maxD.x","V.CWM.WD2.x","V.TRich.x","V.LRich.x","V.NStemsT.x","V.TShan.x","V.NStemsL.x","V.Cstorage.x","RainTotal","Rain.CV","Elev.Mean","Elev.CV","Elev.Range","Latitude","ForestLossSite","ForestLossZOI","PA_area","SA_area","ZOI_area","Year","Continent","V.FEve.y","V.FDis.y","V.RaoQ.y","V.CWM.maxD.y","V.CWM.WD2.y","V.TRich.y","V.LRich.y","V.NStemsT.y","V.TShan.y","V.NStemsL.y","V.Cstorage.y"
"BBS",33,30,27,24,24,0.604928411583544,0,0.280019248050832,0.085574889290148,61519.8461961233,1.58684138453069,6177377.83321236,2.63521660610096,2.65995381033523,0.280021412,0.61258058937735,1.40453799964524,2.45309632301446,56.44524939568,0.561241175660014,66.5,1.5,418.833333333333,3.33298039463303,6.66666666666667,136572.226473374,2871,0.146449180442453,122.566666666667,0.546548122421907,298,5.660064711,2.03,5.13,331155.3412,20810.51539,616624.3206,2011,"Asia",0.0326536113141322,0.175247911018681,0.269667796138306,0.153641546914097,0.0562549461354541,0.182878411901153,0.557773351022717,0.242178842865975,0.108150732874833,0.720416546173115,0.431751130501988
"BCI",34,32,30,28,28,0.504519312633033,0,0.28889727654989,0.0885559189842497,7159.63063077864,2.56001439868355,7995791.38048849,2.88356716670894,2.89119582418772,0.288523137,0.620569179194191,1.30561729225499,2.45217848854684,50.5382299082317,0.560046014420393,71.3333333333333,3.33333333333333,504,3.40110393780206,6.83333333333333,132853.561073008,2420,0.608805250732843,94.2833333333333,0.445162189486937,182,9.16277888844414,0.47,2.95,13800.39069,27445.25136,431935.9286,2011,"America",0.0359249015254208,0.16074878193902,0.342732325116383,0.0615714268568825,0.0645362054494796,0.107375002739029,0.903327183250897,0.140791950742228,0.0632848056508476,1.00291069551415,0.170452645149893
"BIF",43,37,31,22,22,0.703737736830786,0,0.27728350976425,0.0812028278462523,121025.212856639,1.39493884576267,4103374.56908586,2.54209051730507,2.55516382165578,0.277165159,0.53395860643651,1.26662172912404,1.90012195819147,65.7922181737257,0.555456753912633,31.1666666666667,0.166666666666667,524.166666666667,2.45317443809483,0.166666666666667,100371.766382213,1239,0.324533677224742,1905.6,0.168717770704012,950,1.00973256,0.3,4.71,34276.39059,31781.67049,808076.9143,2012,"Africa",0.147596535227224,0.149027169786073,0.197143196963291,0.116824710470678,0.0584980398796456,0.188642001075481,2.44948974278318,0.294404638050497,0.186395362626769,2.44948974278318,0.408554763314561
"CAX",34,33,31,29,29,0.564259909059286,0,0.287866384943893,0.0936167641261914,24600.4158840996,2.35782880009583,11882334.0493564,3.00034202825571,2.99661481731316,0.288013792,0.630820503385064,1.08900202396462,1.47382872770748,66.155474212919,0.716398363946373,87.1666666666667,6.16666666666667,473.666666666667,3.47007317607709,10.8333333333333,258712.77593811,2342,0.574869877577099,37.7833333333333,0.364104546135673,58,1.76955939,0.11,0.46,35407.14803,23594.16922,293966.4709,2012,"America",0.0230630610488886,0.0945996009703961,0.135046247029178,0.0990324317298614,0.0321001481202421,0.118207124405918,0.259797077636712,0.0754219731612816,0.0899382382380215,0.250537882902428,0.14191330119795
"COU",48,46,43,36,36,0.450655547316191,0,0.300560745161602,0.0988707207328981,18958.4887315626,2.19800013397125,10741916.2593503,3.2012815539484,3.21965513595721,0.299796813,0.616628645687919,1.17677481075743,1.85340434685161,51.7088166203214,0.550520267273632,102.333333333333,2.33333333333333,585.333333333333,3.8441843566374,7,163329.338280182,3394,0.429439949163646,349.416666666667,0.0436686474181528,66,11.91861461,0.18,0.2,1704505.533,20131.74419,371988.5394,2011,"America",0.0589842077057979,0.0476527975083759,0.0932835597735805,0.0710984177254717,0.0351875271096364,0.135075114000089,0.964682458064808,0.0471682982087914,0.0739137265712773,0.325764407171182,0.237224241952099
"KRP",37,34,31,26,26,0.567232852338852,0,0.253912498031509,0.0712287956808475,29534.4209109501,1.53160848212039,2764329.43293394,2.94704721727836,2.93701825606091,0.253903113,0.557426865234328,1.1696626554633,1.87670298867601,57.7143603376582,0.643082767736297,71.6666666666667,3.83333333333333,488.5,3.30457530584137,7.83333333333333,183547.216058582,2744,0.714947655807725,168.483333333333,0.470862531438323,371,5.043633945,0.12,0.09,130347.9797,15423.15003,171190.1657,2011,"Africa",0.0935982013349438,0.0682255003885675,0.15110938034661,0.0934349440812958,0.0296278099879073,0.198447189907695,0.532497770170256,0.19456012695538,0.0860840700116448,0.544115397980614,0.245205780216741
"MAS",35,34,32,27,27,0.528731963018043,0,0.285432979405752,0.0943395203227651,17929.8565624976,2.28853315280948,10604938.5860303,2.9627425661649,2.99546826494666,0.283951993,0.616825300528452,1.26177372835863,1.81220082962059,50.3362501053365,0.676902009556039,123.166666666667,8.16666666666667,624.833333333333,4.02313598814624,18.5,166599.11623691,2192,0.428613962549235,102.6,0.220156480626279,104,2.66008553444444,0.06,2.01,1198944.011,33173.36538,924020.2752,2011,"America",0.0666125836760774,0.0388506937565073,0.0670383920715397,0.0338946641395869,0.0384605977354148,0.0338349116103534,0.18024001768016,0.0587722098142315,0.0240389664454453,0.544579504854321,0.170714541119535
"NNN",46,43,38,32,32,0.647785319964454,0,0.276290641431014,0.085140634295213,253652.29628858,1.39442540034206,5416548.5106875,3.11643600027285,3.13852086781807,0.276850798,0.568134832521871,1.13551990630807,1.86243572258267,73.9366082098842,0.6457760609358,48.75,0.25,341.25,3.2433701308772,5,215948.366280967,1662,0.456880046314339,460.063492063492,0.0497177788568572,108,2.49772849421875,0.07,0.12,411653.3506,22057.79628,229664.916,2011,"Africa",0.088959197067578,0.0832283023128564,0.226924486321505,0.133433175484485,0.0566832565429486,0.102393019705107,2,0.115428989277433,0.0716980239843457,0.163299316185545,0.299657089793382
"PSH",42,39,36,31,31,0.633119093002998,0,0.316340258488483,0.114306799013095,53029.068834003,1.94780334014279,5758688.59977967,2.81686404796217,2.81617265601249,0.314895019,0.651900268901594,1.30727587725589,2.12441516095709,56.0663120123057,0.561552354340697,86.1666666666667,1.16666666666667,416.833333333333,3.78340154815692,1.33333333333333,126936.966801322,2067,0.294726412031807,457.466666666667,0.452670571304652,861,3.08176435324942,34.47,37.93,13610.45759,25758.62353,281306.5004,2012,"Asia",0.0419571330639057,0.0710886123261401,0.142413931108855,0.0739271847006514,0.0730216523471967,0.209980001965996,1.37321312465119,0.311596159687291,0.0676814089724959,1.22474487139159,0.353641647169215
"RNF",18,17,16,16,16,0.726672163824518,0,0.288488588945096,0.0941512530294723,3940.72558602588,2.81489738962011,831961.25202738,2.45242500757558,2.44428150559972,0.27702806,0.519838064117353,1.15910291962644,1.63498787240136,62.3123358082257,0.601824841954515,63.8333333333333,1.16666666666667,1071,3.27410555640442,1.16666666666667,199139.433511133,1553,0.686232526884066,1083.06666666667,0.12862508338763,585,21.2371676666667,0.35,7.85,40705.25212,14239.02765,211113.5174,2011,"Africa",0.0821777087037912,0.0893314135418012,0.135170400095073,0.0839620633845244,0.0282889649092513,0.140614521801701,1.00203873810001,0.222236345069826,0.100190252328729,1.00203873810001,0.281516450311265
"UDZ",46,42,36,27,27,0.482369121624785,0,0.273742107302006,0.0826859587640788,146867.357603817,1.57615598052934,4513983.99984345,2.81181714325967,2.86541621538946,0.274523478,0.500865981143463,1.01372971644927,1.43323130057273,72.6690597095688,0.63212470596258,31.8333333333333,2,534.333333333333,2.33675165846175,5.66666666666667,143946.814590953,1371,0.91002101338918,1143.81967213115,0.323974035787027,1420,7.7709074557377,1.41,9.92,209538.0379,14672.77388,1942132.372,2011,"Africa",0.261124515952867,0.403094364913224,0.671239934489042,0.125624665256909,0.0799812111852138,0.300926449751204,0.894427190999916,0.174507541759933,0.294490357259486,1.01476981895754,0.245950072013118
"VB-",30,28,24,21,21,0.581903798531059,0,0.289285024779236,0.0952193442162964,46752.1509977331,1.75259383972302,8236284.98976218,2.4712740250998,2.49172671840122,0.288885297,0.565402182026631,1.27387814741628,2.08423310582145,51.9723932921862,0.565334221593854,63.2222222222222,2.44444444444444,560.444444444444,3.30048922004178,6.44444444444444,161262.219748201,3462,0.394271063126086,705.083333333333,1.00599203328809,2520,10.3267807628626,0.17,3.77,49316.60649,21048.60191,853418.1812,2011,"America",0.223985966405031,0.146808007154868,0.250765626434882,0.0739462272759496,0.0715305639853233,0.462216081842925,0.983332166035633,0.458720913916857,0.208575158045683,1.06412279024695,0.431048651607162
"YAN",30,28,27,23,23,0.532828128159788,0,0.279930826429251,0.0886539999897071,26023.5590064596,2.13420798477509,12247513.933391,2.63111267532356,2.63182516192506,0.279103274,0.659502216904076,1.22517708654759,1.95087738075782,37.75936,0.54471339964943,87,0,781,3.60415313308722,0,107480.291707292,2197,0.443993891371977,704.285714285714,0.30714487730675,795,10.3718588593651,0.06,3.5,293234.0696,17126.13604,366833.7225,2011,"America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YAS",46,44,41,37,37,0.508057800836346,0,0.299145711674026,0.0954676984619842,15537.9990884816,2.0332420613807,11582814.6373683,3.26842468106278,3.29658961526562,0.299024889,0.618360491861445,1.25034794219228,2.29041163659273,43.7649877309922,0.585380993829155,129.5,6.66666666666667,683.166666666667,4.15459129140484,12.1666666666667,131759.979610822,3104,0.222757604682681,254.333333333333,0.0814028108412002,87,0.675937926666667,0.12,2.14,1040686.741,22125.15157,659508.218,2012,"America",0.0351355031705413,0.0925142164658039,0.121269699128139,0.0475868247788395,0.0200540576231904,0.0691971175821463,0.181659021245849,0.0676029061939492,0.0155045522478971,0.20410499213358,0.0754498610681435
