"Mass_c","LitterSize_c","GR_Area_c","ActivityCycle_c","Guild_c","m.Class[[i]]","m.Family[[i]]"
"Tayassu pecari2",32234,2,13839052.97,"2","4","MAMMALIA","TAYASSUIDAE"
"Tinamus major3",1100,NA,NA,NA,"4","AVES","TINAMIDAE"
"Agelastes niger1",1150,NA,NA,NA,"4","AVES","NUMIDIDAE"
"Atherurus africanus2",1934,1.5,5140711.56,"1","4","MAMMALIA","HYSTRICIDAE"
"Atilax paludinosus1",3300,2,14296320.45,"2","1","MAMMALIA","HERPESTIDAE"
"Bdeogale nigripes1",2500,1,3117248.8,"1","1","MAMMALIA","HERPESTIDAE"
"Caracal aurata1",16000,2.25,4948244.43,"2","1","MAMMALIA","FELIDAE"
"Cephalophus callipygus",18250,NA,788397.64,"3","2","MAMMALIA","BOVIDAE"
"Cephalophus dorsalis",20000,1,2874503.05,"1","4","MAMMALIA","BOVIDAE"
"Cephalophus leucogaster",12700,1,1396673.01,"3","2","MAMMALIA","BOVIDAE"
"Cephalophus nigrifrons1",13900,NA,2766201.07,"2","2","MAMMALIA","BOVIDAE"
"Cephalophus silvicultor2",72500,1,6018051.89,"2","2","MAMMALIA","BOVIDAE"
"Cercocebus agilis",8000,NA,1068616.42,"3","4","MAMMALIA","CERCOPITHECIDAE"
"Cercopithecus nictitans1",5410,1,2185668.95,"3","4","MAMMALIA","CERCOPITHECIDAE"
"Civettictis civetta1",12000,2.31,14207678.6,"1","4","MAMMALIA","VIVERRIDAE"
"Cricetomys emini2",1300,0.97,2945905.07,"1","4","MAMMALIA","NESOMYIDAE"
"Cricetomys gambianus1",1285,3.11,NA,NA,"4","MAMMALIA","NESOMYIDAE"
"Francolinus africanus",426,NA,NA,NA,"2","AVES","PHASIANIDAE"
"Francolinus lathami1",269,NA,NA,NA,"2","AVES","PHASIANIDAE"
"Funisciurus lemniscatus",250,1.8,1103962.08,"3","2","MAMMALIA","SCIURIDAE"
"Funisciurus pyrropus1",3200,1.26,3542071.4,"3","2","MAMMALIA","SCIURIDAE"
"Genetta servalina2",1055,1.5,3667035.54,"1","1","MAMMALIA","VIVERRIDAE"
"Genetta tigrina",2225,2.76,587510.9,"1","1","MAMMALIA","VIVERRIDAE"
"Gorilla gorilla",180000,1.05,625702.71,"3","2","MAMMALIA","HOMINIDAE"
"Guttera plumifera",1200,NA,NA,NA,"4","AVES","NUMIDIDAE"
"Herpestes naso1",3000,NA,2499072.82,"1","4","MAMMALIA","HERPESTIDAE"
"Hyemoschus aquaticus1",188500,1.22,2571576.3,"1","2","MAMMALIA","TRAGULIDAE"
"Hylochoerus meinertzhageni",14936,4,2227871.01,"2","4","MAMMALIA","SUIDAE"
"Loxodonta africana2",3940034,0.84,4233287.94,"3","2","MAMMALIA","ELEPHANTIDAE"
"Mellivora capensis1",9000,2.35,27823522.11,"2","1","MAMMALIA","MUSTELIDAE"
"Nandinia binotata2",2000,1.84,5977079.52,"1","4","MAMMALIA","NANDINIIDAE"
"Orycteropus afer",52350,1.1,18035652.33,"1","3","MAMMALIA","ORYCTEROPODIDAE"
"Pan troglodytes1",45000,1.05,1898947.6,"3","4","MAMMALIA","HOMINIDAE"
"Panthera pardus",55615,2.14,29348601.36,"2","1","MAMMALIA","FELIDAE"
"Phataginus tricuspis2",1800,1,5968402.76,NA,"3","MAMMALIA","MANIDAE"
"Philantomba monticola1",4600,0.98,6552145.69,"3","2","MAMMALIA","BOVIDAE"
"Potamochoerus porcus1",70000,3,5033216.84,"2","4","MAMMALIA","SUIDAE"
"Protoxerus stangeri",592,1.47,3688592.61,"3","2","MAMMALIA","SCIURIDAE"
"Smutsia gigantea",12500,NA,3277538.77,NA,"3","MAMMALIA","MANIDAE"
"Syncerus caffer",580003,1.08,11706834.65,"2","2","MAMMALIA","BOVIDAE"
"Thryonomys swinderianus1",4060,3.88,13000746.74,"1","2","MAMMALIA","THRYONOMYIDAE"
"Tragelaphus eurycerus",329003,1,2564432.61,"2","2","MAMMALIA","BOVIDAE"
"Tragelaphus spekii1",77999,1,5256068.76,"2","2","MAMMALIA","BOVIDAE"
"Turtur brehmeri1",113,NA,NA,NA,"4","AVES","COLUMBIDAE"
"Arctictis binturong1",13000,2.5,2913838.88,"1","1","MAMMALIA","VIVERRIDAE"
"Argusianus argus1",2380,NA,NA,NA,"4","AVES","PHASIANIDAE"
"Atherurus macrourus",2000,1.5,2597040.51,"1","4","MAMMALIA","HYSTRICIDAE"
"Callosciurus erythraeus",280,1.94,2354368.13,NA,"2","MAMMALIA","SCIURIDAE"
"Capricornis sumatraensis",140000,1.22,237174.87,NA,"2","MAMMALIA","BOVIDAE"
"Chalcophaps indica1",107,NA,NA,NA,"2","AVES","COLUMBIDAE"
"Cuon alpinus1",12760,4.3,10546280.1,"2","1","MAMMALIA","CANIDAE"
"Echinosorex gymnura1",957,1.9,1374526.86,"2","3","MAMMALIA","ERINACEIDAE"
"Gallus gallus1",914,NA,NA,NA,"4","AVES","PHASIANIDAE"
"Helarctos malayanus1",47000,1.1,2525372.13,"1","4","MAMMALIA","URSIDAE"
"Hemigalus derbyanus1",2000,1.73,1431386.4,"1","1","MAMMALIA","VIVERRIDAE"
"Herpestes brachyurus1",2000,3.49,1313618.8,"1","1","MAMMALIA","HERPESTIDAE"
"Hystrix brachyura1",8000,1.41,5702383.4,"1","4","MAMMALIA","HYSTRICIDAE"
"Lariscus insignis1",200,NA,1341081.13,NA,"4","MAMMALIA","SCIURIDAE"
"Leopoldamys sabanus",391,3.33,2396697.79,NA,"3","MAMMALIA","MURIDAE"
"Macaca fascicularis1",4750,1,2197587.41,"3","4","MAMMALIA","CERCOPITHECIDAE"
"Macaca nemestrina1",6500,1.01,1033482.91,"3","4","MAMMALIA","CERCOPITHECIDAE"
"Manis javanica1",5150,1,2642894.09,NA,"3","MAMMALIA","MANIDAE"
"Martes flavigula",1185,3.53,5260689.7,"3","4","MAMMALIA","MUSTELIDAE"
"Muntiacus muntjak1",14000,NA,NA,NA,"2","MAMMALIA","CERVIDAE"
"Neofelis nebulosa1",19852,2.25,2913590.85,"2","1","MAMMALIA","FELIDAE"
"Paguma larvata1",4300,2.16,5422715.54,"1","3","MAMMALIA","VIVERRIDAE"
"Panthera pardus1",55615,2.14,29348601.36,"2","1","MAMMALIA","FELIDAE"
"Pardofelis marmorata1",2459,2,2298300.89,"1","1","MAMMALIA","FELIDAE"
"Pardofelis temminckii1",12500,1.5,3437288.13,NA,"1","MAMMALIA","FELIDAE"
"Presbytis siamensis",6600,NA,87550.36,"3","2","MAMMALIA","CERCOPITHECIDAE"
"Prionailurus bengalensis1",3300,2.5,10201747.8,"1","1","MAMMALIA","FELIDAE"
"Prionodon linsang1",700,2.3,1202013.54,"1","1","MAMMALIA","PRIONODONTIDAE"
"Rhinosciurus laticaudatus",221,1.39,880578.73,NA,"2","MAMMALIA","SCIURIDAE"
"Rhizomys sumatrensis",250,4,1503754.2,NA,"2","MAMMALIA","SPALACIDAE"
"Rusa unicolor1",211620,1,7050571.04,"2","2","MAMMALIA","CERVIDAE"
"Sundasciurus hippurus",500,NA,1193705.93,NA,"2","MAMMALIA","SCIURIDAE"
"Sus scrofa1",117286,4.52,25951693.02,"2","4","MAMMALIA","SUIDAE"
"Tapirus indicus1",296250,1,794777.96,"1","2","MAMMALIA","TAPIRIDAE"
"Tragulus javanicus1",2250,0.98,NA,"1","2","MAMMALIA","TRAGULIDAE"
"Tragulus kanchil",2000,NA,3708821.44,NA,"2","MAMMALIA","TRAGULIDAE"
"Tupaia glis",159,2.22,752165.74,"3","4","MAMMALIA","TUPAIIDAE"
"Viverra zibetha",9000,2.89,4064204.47,"1","4","MAMMALIA","VIVERRIDAE"
"Lophura ignita",1815,NA,NA,NA,"4","AVES","PHASIANIDAE"
"Muntiacus montanus",18939,1,7321434.07,"2","2","MAMMALIA","CERVIDAE"
"Prionailurus planiceps",3533,NA,1100389.34,"1","4","MAMMALIA","FELIDAE"
"Brachypteracias squamiger",170,NA,NA,NA,"3","AVES","BRACHYPTERACIIDAE"
"Canirallus kioloides",269,NA,NA,NA,"4","AVES","RALLIDAE"
"Coua reynaudii",153,NA,NA,NA,"4","AVES","CUCULIDAE"
"Cryptoprocta ferox",9500,2.98,214312.12,"2","1","MAMMALIA","EUPLERIDAE"
"Eulemur rufifrons",300,NA,71558.47,"2","2","MAMMALIA","LEMURIDAE"
"Eupleres goudotii",1500,1,111808.26,"2","1","MAMMALIA","EUPLERIDAE"
"Fossa fossana",218,1,106522.05,"1","1","MAMMALIA","EUPLERIDAE"
"Galidia elegans",800,1,120561.29,"2","1","MAMMALIA","EUPLERIDAE"
"Galidictis fasciata",550,1,87237.59,"2","1","MAMMALIA","EUPLERIDAE"
"Hemicentetes nigriceps",1e+05,2.84,4457.41,"2","1","MAMMALIA","TENRECIDAE"
"Hemicentetes semispinosus",138,5.32,97855.43,"2","1","MAMMALIA","TENRECIDAE"
"Lophotibis cristata",NA,NA,NA,NA,"4","AVES","THRESKIORNITHIDAE"
"Nesomys rufus",163,NA,65566.48,"2","2","MAMMALIA","NESOMYIDAE"
"Numida meleagris",1375,NA,NA,NA,"4","AVES","NUMIDIDAE"
"Potamochoerus larvatus1",48781,2.73,5892226.64,"1","4","MAMMALIA","SUIDAE"
"Rattus rattus",280,5.88,NA,NA,"4","MAMMALIA","MURIDAE"
"Setifer setosus",213,3.24,261594.46,"1","3","MAMMALIA","TENRECIDAE"
"Tenrec ecaudatus",868,16.89,248061.27,"2","4","MAMMALIA","TENRECIDAE"
"Aplopelia larvata",116,NA,NA,NA,"2","AVES","COLUMBIDAE"
"Atilax paludinosus2",3300,2,14296320.45,"2","1","MAMMALIA","HERPESTIDAE"
"Bdeogale crassicauda",1550,0.96,1654322.83,"1","1","MAMMALIA","HERPESTIDAE"
"Cephalophus harveyi",14500,1,1208751.28,"3","2","MAMMALIA","BOVIDAE"
"Cephalophus spadix",56000,NA,36583.37,"1","4","MAMMALIA","BOVIDAE"
"Cercocebus sanjei",8000,NA,59607.49,NA,"4","MAMMALIA","CERCOPITHECIDAE"
"Cercopithecus mitis1",5000,1,2341818.13,"3","4","MAMMALIA","CERCOPITHECIDAE"
"Civettictis civetta2",12000,2.31,14207678.6,"1","4","MAMMALIA","VIVERRIDAE"
"Cricetomys gambianus2",1285,3.11,NA,NA,"4","MAMMALIA","NESOMYIDAE"
"Crocuta crocuta",63000,1.91,14790149.69,"1","1","MAMMALIA","HYAENIDAE"
"Dendrohyrax arboreus",2950,1.51,2556176.38,"1","2","MAMMALIA","PROCAVIIDAE"
"Francolinus squamatus",472,NA,NA,NA,"2","AVES","PHASIANIDAE"
"Genetta servalina3",1055,1.5,3667035.54,"1","1","MAMMALIA","VIVERRIDAE"
"Guttera pucherani1",1200,NA,NA,NA,"4","AVES","NUMIDIDAE"
"Hystrix africaeaustralis",8000,1.51,8461036.56,"1","4","MAMMALIA","HYSTRICIDAE"
"Leptailurus serval1",12000,2.35,12526196.74,"2","1","MAMMALIA","FELIDAE"
"Loxodonta africana3",3940034,0.84,4233287.94,"3","2","MAMMALIA","ELEPHANTIDAE"
"Mellivora capensis2",9000,2.35,27823522.11,"2","1","MAMMALIA","MUSTELIDAE"
"Mungos mungo",1925,2.68,15894555.38,"3","3","MAMMALIA","HERPESTIDAE"
"Nandinia binotata3",2000,1.84,5977079.52,"1","4","MAMMALIA","NANDINIIDAE"
"Panthera pardus2",55615,2.14,29348601.36,"2","1","MAMMALIA","FELIDAE"
"Papio cynocephalus",18400,1.01,3953480.36,"3","4","MAMMALIA","CERCOPITHECIDAE"
"Paraxerus vexillarius",675,NA,8466.8,NA,"2","MAMMALIA","SCIURIDAE"
"Petrodromus tetradactylus",188,1,3981194.83,"2","3","MAMMALIA","MACROSCELIDIDAE"
"Potamochoerus larvatus2",48781,2.73,5892226.64,"1","4","MAMMALIA","SUIDAE"
"Rhynchocyon cirnei",490,1.93,1862288.18,"3","3","MAMMALIA","MACROSCELIDIDAE"
"Rhynchocyon udzungwensis",750,NA,NA,NA,"3","MAMMALIA","MACROSCELIDIDAE"
"Syncerus caffer1",580003,1.08,11706834.65,"2","2","MAMMALIA","BOVIDAE"
"Thryonomys swinderianus2",4060,3.88,13000746.74,"1","2","MAMMALIA","THRYONOMYIDAE"
"Tragelaphus scriptus1",43250,1,13167565.73,"2","2","MAMMALIA","BOVIDAE"
"Xenoperdix udzungwensis",225,NA,NA,NA,"4","AVES","PHASIANIDAE"
"Conepatus semistriatus",1200,3.49,2032658.27,"1","1","MAMMALIA","MEPHITIDAE"
"Crax rubra1",3950,NA,NA,NA,"4","AVES","CRACIDAE"
"Cuniculus paca4",8000,1.01,12381979.8,"1","2","MAMMALIA","CUNICULIDAE"
"Dasyprocta punctata3",2675,1.25,2516292.24,"3","2","MAMMALIA","DASYPROCTIDAE"
"Dasypus novemcinctus4",4204,3.96,17080218.63,"2","2","MAMMALIA","DASYPODIDAE"
"Didelphis marsupialis4",1091,7.09,7324303.06,"1","4","MAMMALIA","DIDELPHIDAE"
"Eira barbara4",3910,2.14,13411787.9,"2","4","MAMMALIA","MUSTELIDAE"
"Leopardus pardalis4",11900,1.66,16040024.42,"2","1","MAMMALIA","FELIDAE"
"Leopardus wiedii4",3250,1.5,12404067.35,"2","1","MAMMALIA","FELIDAE"
"Mazama americana3",22800,1.22,12346897.93,"2","2","MAMMALIA","CERVIDAE"
"Mazama temama1",2100,NA,586111.82,NA,"2","MAMMALIA","CERVIDAE"
"Metachirus nudicaudatus3",375,3.87,8833791.02,"1","4","MAMMALIA","DIDELPHIDAE"
"Nasua narica2",4030,4,2329129.95,"2","4","MAMMALIA","PROCYONIDAE"
"Nothocercus bonapartei",925,NA,NA,NA,"4","AVES","TINAMIDAE"
"Odocoileus virginianus1",55509,1.57,14446002.22,"2","2","MAMMALIA","CERVIDAE"
"Odontophorus leucolaemus",275,NA,NA,NA,"4","AVES","ODONTOPHORIDAE"
"Panthera onca3",1e+05,1.96,10500825.25,"2","1","MAMMALIA","FELIDAE"
"Pecari tajacu4",21267,1.56,15771441.38,"2","4","MAMMALIA","TAYASSUIDAE"
"Penelope purpurascens1",1750,NA,NA,NA,"2","AVES","CRACIDAE"
"Philander opossum3",421,4.75,NA,"1","4","MAMMALIA","DIDELPHIDAE"
"Procyon lotor",5525,3.06,11703644.72,"2","4","MAMMALIA","PROCYONIDAE"
"Proechimys semispinosus3",361,2.84,211449.22,"1","4","MAMMALIA","ECHIMYIDAE"
"Puma concolor3",51600,2.76,22350859.07,"2","1","MAMMALIA","FELIDAE"
"Puma yagouaroundi4",8400,2.5,15093388.56,"2","1","MAMMALIA","FELIDAE"
"Sciurus granatensis1",250,1.9,843476.46,"3","2","MAMMALIA","SCIURIDAE"
"Tamandua mexicana1",4210,NA,1290178.01,"2","3","MAMMALIA","MYRMECOPHAGIDAE"
"Tapirus bairdii1",225000,1,188831.76,"2","2","MAMMALIA","TAPIRIDAE"
"Tinamus major4",1100,NA,NA,NA,"4","AVES","TINAMIDAE"
"Crossarchus obscurus1",1395,4.29,438210.83,"3","4","MAMMALIA","HERPESTIDAE"
"Didelphis virginiana",2442,8.62,5696037.14,"1","4","MAMMALIA","DIDELPHIDAE"
"Cuniculus paca5",8000,1.01,12381979.8,"1","2","MAMMALIA","CUNICULIDAE"
"Dasyprocta fuliginosa",3500,NA,2578681.32,"3","2","MAMMALIA","DASYPROCTIDAE"
"Dasypus kappleri2",9500,4.47,4937797.17,"2","2","MAMMALIA","DASYPODIDAE"
"Dasypus novemcinctus5",4204,3.96,17080218.63,"2","2","MAMMALIA","DASYPODIDAE"
"Didelphis marsupialis5",1091,7.09,7324303.06,"1","4","MAMMALIA","DIDELPHIDAE"
"Eira barbara5",3910,2.14,13411787.9,"2","4","MAMMALIA","MUSTELIDAE"
"Geotrygon frenata",305,NA,NA,NA,"4","AVES","COLUMBIDAE"
"Leopardus pardalis5",11900,1.66,16040024.42,"2","1","MAMMALIA","FELIDAE"
"Leopardus wiedii5",3250,1.5,12404067.35,"2","1","MAMMALIA","FELIDAE"
"Mazama americana4",22800,1.22,12346897.93,"2","2","MAMMALIA","CERVIDAE"
"Metachirus nudicaudatus4",375,3.87,8833791.02,"1","4","MAMMALIA","DIDELPHIDAE"
"Mitu tuberosum2",3060,NA,NA,NA,"4","AVES","CRACIDAE"
"Myoprocta acouchy1",600,1.97,1230426.69,"3","2","MAMMALIA","DASYPROCTIDAE"
"Myoprocta pratti1",1880,1.77,NA,NA,"2","MAMMALIA","DASYPROCTIDAE"
"Myrmecophaga tridactyla3",22333,1,12447513.64,"2","3","MAMMALIA","MYRMECOPHAGIDAE"
"Nasua nasua4",3794,3.69,10694990.22,"3","4","MAMMALIA","PROCYONIDAE"
"Neomorphus geoffroyi2",350,NA,NA,NA,"4","AVES","CUCULIDAE"
"Panthera onca4",1e+05,1.96,10500825.25,"2","1","MAMMALIA","FELIDAE"
"Pecari tajacu5",21267,1.56,15771441.38,"2","4","MAMMALIA","TAYASSUIDAE"
"Penelope jacquacu1",1460,NA,NA,NA,"2","AVES","CRACIDAE"
"Procyon cancrivorus2",6950,2.62,12829315.4,"1","1","MAMMALIA","PROCYONIDAE"
"Puma concolor4",51600,2.76,22350859.07,"2","1","MAMMALIA","FELIDAE"
"Puma yagouaroundi5",8400,2.5,15093388.56,"2","1","MAMMALIA","FELIDAE"
"Sciurus granatensis2",250,1.9,843476.46,"3","2","MAMMALIA","SCIURIDAE"
"Sciurus spadiceus1",403,NA,2693893.11,"3","2","MAMMALIA","SCIURIDAE"
"Tamandua tetradactyla3",5515,1,12531429.9,"2","3","MAMMALIA","MYRMECOPHAGIDAE"
"Tapirus terrestris3",207501,1,13663839.27,"2","2","MAMMALIA","TAPIRIDAE"
"Tinamus guttatus2",689,NA,NA,NA,"4","AVES","TINAMIDAE"
"Tinamus major5",1100,NA,NA,NA,"4","AVES","TINAMIDAE"
"Tinamus tao2",1674,NA,NA,NA,"4","AVES","TINAMIDAE"
"Tremarctos ornatus",140001,1.44,409517.73,"2","4","MAMMALIA","URSIDAE"
"Atelocynus microtis2",7750,NA,7634256.6,NA,"1","MAMMALIA","CANIDAE"
"Baryphthengus martii",195,NA,NA,NA,"4","AVES","MOMOTIDAE"
"Crypturellus soui2",220,NA,NA,NA,"4","AVES","TINAMIDAE"
"Crypturellus undulatus1",300,NA,NA,NA,"4","AVES","TINAMIDAE"
"Crypturellus variegatus3",384,NA,NA,NA,"4","AVES","TINAMIDAE"
"Cuniculus paca6",8000,1.01,12381979.8,"1","2","MAMMALIA","CUNICULIDAE"
"Dasyprocta fuliginosa1",3500,NA,2578681.32,"3","2","MAMMALIA","DASYPROCTIDAE"
"Dasypus kappleri3",9500,4.47,4937797.17,"2","2","MAMMALIA","DASYPODIDAE"
"Dasypus novemcinctus6",4204,3.96,17080218.63,"2","2","MAMMALIA","DASYPODIDAE"
"Didelphis marsupialis6",1091,7.09,7324303.06,"1","4","MAMMALIA","DIDELPHIDAE"
"Eira barbara6",3910,2.14,13411787.9,"2","4","MAMMALIA","MUSTELIDAE"
"Galictis vittata1",3200,NA,10078448.48,NA,"1","MAMMALIA","MUSTELIDAE"
"Geotrygon montana4",280,NA,NA,NA,"4","AVES","COLUMBIDAE"
"Leopardus pardalis6",11900,1.66,16040024.42,"2","1","MAMMALIA","FELIDAE"
"Leopardus wiedii6",3250,1.5,12404067.35,"2","1","MAMMALIA","FELIDAE"
"Leptotila rufaxilla1",155,NA,NA,NA,"4","AVES","COLUMBIDAE"
"Mazama americana5",22800,1.22,12346897.93,"2","2","MAMMALIA","CERVIDAE"
"Mazama gouazoubira2",8000,NA,NA,NA,"2","MAMMALIA","CERVIDAE"
"Metachirus nudicaudatus5",375,3.87,8833791.02,"1","4","MAMMALIA","DIDELPHIDAE"
"Mitu salvini",3100,NA,NA,NA,"4","AVES","CRACIDAE"
"Myoprocta pratti2",1880,1.77,NA,NA,"2","MAMMALIA","DASYPROCTIDAE"
"Myrmecophaga tridactyla4",22333,1,12447513.64,"2","3","MAMMALIA","MYRMECOPHAGIDAE"
"Nasua nasua5",3794,3.69,10694990.22,"3","4","MAMMALIA","PROCYONIDAE"
"Neomorphus geoffroyi3",350,NA,NA,NA,"4","AVES","CUCULIDAE"
"Nothocrax urumutum",1700,NA,NA,NA,"2","AVES","CRACIDAE"
"Odontophorus gujanensis1",280,NA,NA,NA,"4","AVES","ODONTOPHORIDAE"
"Panthera onca5",1e+05,1.96,10500825.25,"2","1","MAMMALIA","FELIDAE"
"Pecari tajacu6",21267,1.56,15771441.38,"2","4","MAMMALIA","TAYASSUIDAE"
"Penelope jacquacu2",1460,NA,NA,NA,"2","AVES","CRACIDAE"
"Philander andersoni",325,NA,NA,"1","4","MAMMALIA","DIDELPHIDAE"
"Priodontes maximus2",45360,1.5,10006526.45,"1","3","MAMMALIA","DASYPODIDAE"
"Procyon cancrivorus3",6950,2.62,12829315.4,"1","1","MAMMALIA","PROCYONIDAE"
"Psophia crepitans1",1300,NA,NA,NA,"4","AVES","PSOPHIIDAE"
"Puma concolor5",51600,2.76,22350859.07,"2","1","MAMMALIA","FELIDAE"
"Puma yagouaroundi6",8400,2.5,15093388.56,"2","1","MAMMALIA","FELIDAE"
"Sciurus igniventris1",700,NA,2245835.89,"3","2","MAMMALIA","SCIURIDAE"
"Speothos venaticus",6000,3.8,9703966.13,"3","1","MAMMALIA","CANIDAE"
"Sylvilagus brasiliensis2",950,1.9,10234916.71,"2","2","MAMMALIA","LEPORIDAE"
"Tamandua tetradactyla4",5515,1,12531429.9,"2","3","MAMMALIA","MYRMECOPHAGIDAE"
"Tapirus terrestris4",207501,1,13663839.27,"2","2","MAMMALIA","TAPIRIDAE"
"Tayassu pecari3",32234,2,13839052.97,"2","4","MAMMALIA","TAYASSUIDAE"
"Tinamus guttatus3",689,NA,NA,NA,"4","AVES","TINAMIDAE"
"Tinamus major6",1100,NA,NA,NA,"4","AVES","TINAMIDAE"
